Character	Comments Per View	Total Comments	Total Views
Steve	0.0049	47496	9684216
Sonic	0.0049	26291	5417256
King K. Rool	0.0047	798	170909
Duck Hunt	0.0042	405	95350
Robin	0.0042	1429	336651
Link	0.0041	1631	398618
Mii Gunner	0.0041	660	162174
Banjo & Kazooie	0.004	542	134400
Wii Fit Trainer	0.0039	865	219350
Little Mac	0.0039	2655	680784
Rosalina and Luma	0.0039	8614	2232406
Mr. Game and Watch	0.0038	15624	4067186
Bayonetta	0.0036	5481	1507479
Ice Climbers	0.0036	3746	1043399
Shulk	0.0036	2352	656873
Terry	0.0036	10866	3037255
Isabelle	0.0036	536	150278
Dr. Mario	0.0036	1213	341127
Zero Suit Samus	0.0036	8857	2491867
Ridley	0.0035	1362	388540
Diddy Kong	0.0034	12597	3653600
Ike	0.0034	717	211200
Richter	0.0034	1420	418349
Pikachu	0.0034	3100	916712
Ganondorf	0.0034	324	96664
Kirby	0.0032	1246	385267
Hero	0.0032	2267	701132
Luigi	0.0032	3533	1103792
Min Min	0.0032	8771	2740467
Falco	0.0032	5356	1680676
Peach	0.0032	4837	1528420
Snake	0.0032	7971	2519713
Zelda	0.0032	699	220991
Lucas	0.0031	1958	627593
Pokemon Trainer	0.0031	3801	1223594
Ken	0.0031	2971	956671
Jigglypuff	0.0031	2871	937569
Pyra & Mythra	0.0031	27624	9041240
Fox	0.0031	16861	5525613
Bowser Jr.	0.003	692	228335
Sora	0.003	6049	2011449
ROB	0.003	12538	4172883
Mii Swordfighter	0.003	255	84968
Mewtwo	0.003	1232	411156
Olimar	0.003	4394	1486371
Corrin	0.0029	9320	3174225
Young Link	0.0029	1689	575891
Meta Knight	0.0029	2185	756322
Wolf	0.0029	4193	1454777
Mega Man	0.0029	2086	730198
Piranha Plant	0.0029	370	129817
Sephiroth	0.0028	8254	2905497
Sheik	0.0028	4019	1414955
Kazuya	0.0028	22687	8010742
Chrom	0.0028	858	308419
Wario	0.0028	14599	5295608
Captain Falcon	0.0027	7813	2899087
Daisy	0.0027	392	145987
Villager	0.0027	500	187255
Roy	0.0027	17497	6556554
Palutena	0.0026	4132	1568154
King Dedede	0.0026	563	214714
Samus	0.0026	4681	1789609
Lucario	0.0026	640	245009
Toon Link	0.0026	527	204078
Mii Brawler	0.0026	749	290459
Joker	0.0026	20923	8163188
Dark Samus	0.0026	3189	1247024
Yoshi	0.0025	2842	1116328
Cloud	0.0025	22871	9077557
Ness	0.0025	7265	2937444
Incineroar	0.0025	6202	2516670
Inkling	0.0025	576	234972
Donkey Kong	0.0024	6373	2618724
Pit	0.0024	3442	1428002
Lucina	0.0024	4179	1760070
Pac-Man	0.0023	4672	2014389
Pichu	0.0023	854	369480
Byleth	0.0023	17296	7492895
Dark Pit	0.0021	920	431178
Greninja	0.0021	1844	888744
Bowser	0.0021	2936	1419813
Marth	0.0019	1288	663134
Ryu	0.0019	4805	2498107
Mario	0.0019	8002	4160862
Simon	0.0016	131	79855
	0.0016	99	61587
